#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
651,Power,"Hardwell,KSHMR",63,"big room, dance pop, dutch house, edm, electro house, pop dance, progressive electro house, progressive house, tropical house, indian edm, pop edm, slap house","Dance/Electronic, Pop",Power,2017,2:28,2021-03-12
652,Hang,8 Graves,45,"indie poptimism, rebel blues","Pop, Blues",Black,2019,3:35,2021-03-12
653,Breakaway,Prismo,24,"bass trap, gaming edm, traprun",Dance/Electronic,Breakaway,2019,3:20,2021-03-12
654,Vans - King Kavalier Remix,"Arrested Youth,King Kavalier",50,"modern alternative rock, modern rock, rock,",Rock,Vans (The Remixes),2018,2:45,2021-03-12
655,Low,The Tech Thieves,32,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Low,2017,3:21,2021-03-12
656,Be Gone,"Rival,Caravn",52,"gaming edm, pop edm, traprun,",Dance/Electronic,Be Gone,2019,3:53,2021-03-12
657,STFD,TeZATalks,61,"indie electropop, indie poptimism",Pop,Chaos,2017,3:46,2021-03-12
658,Cage of Lies,"Sdms,BRAN",33,"bass trap, traprun",Dance/Electronic,Cage of Lies,2019,2:42,2021-03-12
659,Weddings & Funerals,Royal & the Serpent,53,"indie electropop, modern alternative pop","Pop, Rock",Weddings & Funerals,2019,2:56,2021-03-12
660,Scream,"Besomorph,RIELL",40,"bass trap, slap house, traprun",Dance/Electronic,Scream,2019,2:29,2021-03-12
661,Unique,YVR,34,,,Unique,2017,3:29,2021-03-12
662,The Hunter,Adam Jensen,57,"indie poptimism, modern alternative rock, modern rock, rebel blues","Pop, Rock, Blues",The Hunter,2018,3:30,2021-03-12
663,Save Me,Omri,52,,,Save Me,2018,5:35,2021-03-12
664,OK,8 Graves,51,"indie poptimism, rebel blues","Pop, Blues",Black,2019,3:43,2021-03-12
665,Good Vibes,Amas,23,,,Good Vibes,2017,3:13,2021-03-12
666,Dead Flowers,"Nightlane,Jordyn Kane",39,,,Dead Flowers,2019,3:16,2021-03-12
667,Breathe,"inverness,William Bolton",34,"gaming edm,",Dance/Electronic,Breathe,2018,3:37,2021-03-12
668,NEON,LeKtriQue,31,"dark clubbing, gaming dubstep",Dance/Electronic,TURBO / NEON,2017,5:11,2021-03-12
669,Are We Still Young,"Grant,Juneau",53,"edm, electro house, future bass, gaming edm, pop edm,",Dance/Electronic,Are We Still Young,2017,3:36,2021-03-12
670,Crawling,xo sad,39,,,Crawling,2018,2:46,2021-03-12
671,Long Time Coming - MAKJ Remix,"Jagwar Twin,MAKJ",39,"edm, electro house, melbourne bounce, progressive electro house",Dance/Electronic,Long Time Coming (The Remixes),2019,3:15,2021-03-12
672,Memories - Hahlweg Remix,"WE ARE FURY,RUNN,Hahlweg",31,"bass trap, future bass, melodic dubstep, pop edm, traprun,",Dance/Electronic,Memories (Remixes),2019,3:53,2021-03-12
673,Sometimes I Say,"DNVX,Milka",38,zouk,Latin,Sometimes I Say,2019,3:37,2021-03-12
674,Turn the Tide,"Haohinh,Jem Strickland",0,,,Warfare,2017,4:01,2021-03-12
675,Like You Do,Dirtier Blonde,20,,,Like You Do,2018,2:45,2021-03-12
676,Never Letting Go,NIVERSO,15,lithuanian edm,,Never Letting Go,2020,2:55,2021-03-12
677,Requiem,TIN,32,,,Requiem,2018,3:18,2021-03-12
678,Looking Back,DROELOE,38,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Looking Back,2018,3:35,2021-03-12
679,No Doubt,shogonodo,36,lo-fi beats,Dance/Electronic,Flowers In The Trap II,2018,1:58,2021-03-12
680,United States of a Miracle,Alpine Universe,34,,,Anthropocene,2019,3:51,2021-03-12
681,Choices,PatrickReza,44,la pop,Pop,Choices,2019,3:08,2021-03-12
682,schizophrenia,Gill Chang,31,"future bass, indie electropop, pop edm, vapor twitch","Dance/Electronic, Pop",popcorn problems!,2019,2:50,2021-03-12
683,Fault,"MYRNE,Grant,McCall",44,"bass trap, edm, electro house, future bass, gaming edm, pop edm, singaporean electronic, singaporean pop, vapor twitch,","Dance/Electronic, Pop",Fault,2018,4:24,2021-03-12
684,God Rays,Crimson Child,33,,,God Rays,2019,4:40,2021-03-12
685,Say It,Apollo Rising,35,,,Say It,2019,3:39,2021-03-12
686,Scherzo in E-Minor,Jinco,31,"bass trap, future bass, pop edm, traprun",Dance/Electronic,Scherzo in E-Minor,2018,2:31,2021-03-12
687,Sing Me to Sleep,Matstubs,38,"bass trap, traprun",Dance/Electronic,Sing Me to Sleep,2019,3:19,2021-03-12
688,Horns (Arc North Remix),"Arc North,Bryce Fox",52,"gaming edm, pop edm, slap house, traprun, indie poptimism, modern alternative rock, rebel blues","Dance/Electronic, Pop, Rock, Blues",Horns (Arc North Remix),2017,3:45,2021-03-12
689,Love on Fire,"2nd Life,Oscar N",26,"bass trap, traprun,",Dance/Electronic,Love on Fire,2018,2:16,2021-03-12
690,Feel It,The Tech Thieves,27,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Feel It,2018,2:41,2021-03-12
691,Devil's Den,DEELYLE,46,,,ERA,2018,3:51,2021-03-12
692,Beethoven - Fur Elise (Klutch Remix),Klutch,45,,,Beethoven - Fur Elise (Klutch Remix),2018,2:20,2021-03-12
693,Let Your Heartbreak,"Emdi,RØGUENETHVN,Leo The Kind",44,"gaming edm, pop edm, brockton hip hop","Hip Hop, Dance/Electronic",Let Your Heartbreak,2019,2:32,2021-03-12
694,Street Fight,Adam Jensen,59,"indie poptimism, modern alternative rock, modern rock, rebel blues","Pop, Rock, Blues",Street Fight,2017,3:11,2021-03-12
695,Empty Love,The Tech Thieves,23,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Empty Love,2017,3:29,2021-03-12
696,Little Poor Me,Layto,62,"modern alternative rock, traprun","Rock, Dance/Electronic",Little Poor Me,2018,3:18,2021-03-12
697,The Mystic,Adam Jensen,64,"indie poptimism, modern alternative rock, modern rock, rebel blues","Pop, Rock, Blues",The Mystic,2016,3:09,2021-03-12
698,Friend of the Devil,Adam Jensen,55,"indie poptimism, modern alternative rock, modern rock, rebel blues","Pop, Rock, Blues",Friend of the Devil,2019,3:00,2021-03-12
699,Vertigo,"Rob Gasser,Laura Brehm",46,"electro house, gaming edm, chillstep, pop edm",Dance/Electronic,Vertigo,2016,3:47,2021-03-12
700,Sanctuary,Ultrx,0,,,Sanctuary,2020,3:44,2021-03-12
701,King of the Damned,"Barren Gates,Alter.",44,"bass trap, gaming edm, traprun",Dance/Electronic,King of the Damned,2020,4:00,2021-03-12
702,Earthquake,"Markhese,Love Kr3w",38,,,Earthquake,2020,2:40,2021-03-12
703,Ping!,Exyl,53,,,Ping!,2019,2:42,2021-03-12
704,Show Me Love,UnCoded,18,,,Show Me Love,2020,2:50,2021-03-12
705,On My Own,"Despotem,Rubayne",19,"traprun,",Dance/Electronic,On My Own,2020,2:41,2021-03-12
706,Ghost,"CRose,Elisabeth Vleurinck",37,,,Ghost,2020,3:50,2021-03-12
707,Higher,The Score,63,"modern alternative rock, modern rock",Rock,ATLAS,2017,3:34,2021-03-12
708,Numb,8 Graves,51,"indie poptimism, rebel blues","Pop, Blues",Black,2019,3:47,2021-03-12
709,Crash,Neovaii,60,"bass trap, pop edm, traprun",Dance/Electronic,Onward,2018,3:46,2021-03-12
710,Twenties,"Wolfgang Lohr,Loredana Grimaudo",36,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Twenties,2020,3:10,2021-03-12
711,Supersonics,Caravan Palace,37,"electro swing, nu jazz","Easy listening, Dance/Electronic",Chronologic,2019,3:21,2021-03-12
712,Anubis,Brandberg,38,,,Anubis,2015,3:55,2021-03-12
713,Thrift Shop,Lil' Mishka,11,,,"Electro Swing Party by Bart&Baker, Vol.1",2018,3:45,2021-03-12
714,1985,"Besomorph,Wasiu,braev",37,"bass trap, slap house, traprun, canadian hip hop,","Dance/Electronic, Hip Hop",1985,2019,2:52,2021-03-12
715,Don't Sing the Blues,Bohnes,42,rebel blues,Blues,206: Act II,2018,3:16,2021-03-12
716,Friends,cleopatrick,0,"modern alternative rock, modern blues rock, modern hard rock, modern rock, rock","Rock, Blues","14" - EP,2016,3:10,2021-03-12
717,Revolution,The Score,69,"modern alternative rock, modern rock",Rock,ATLAS,2017,3:51,2021-03-12
718,Satisfied - Chapter IV,KLOUD,42,"bass trap, dark clubbing, traprun",Dance/Electronic,Satisfied (Chapter IV),2018,3:50,2021-03-12
719,The Kid I Used to Know,Arrested Youth,63,"modern alternative rock, modern rock, rock",Rock,Sobville (Episode I),2019,2:25,2021-03-12
720,HUSHH,AViVA,50,vapor pop,Dance/Electronic,Hushh,2018,3:00,2021-03-12
721,Love is a Miracle,"Jinco,SVNAH",46,"bass trap, future bass, pop edm, traprun,",Dance/Electronic,Love is a Miracle,2019,3:13,2021-03-12
722,World's Gone,Paapi Muzik,16,traprun,Dance/Electronic,City Lights,2019,3:09,2021-03-12
723,Cruising,Bronze Whale,41,"future bass, vapor soul, vapor twitch",Dance/Electronic,The Shape Of Things,2019,3:39,2021-03-12
724,Immortal,Inova,34,"arab trap, bass trap, traprun",Dance/Electronic,Passion - EP,2017,4:33,2021-03-12
725,AWAY,NOIXES,45,"bass trap, traprun",Dance/Electronic,AWAY,2019,2:36,2021-03-12
726,Lines of the Broken,"DROELOE,San Holo,CUT_",52,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch, electro house, pop dance, indie electropop","Dance/Electronic, Pop",Lines of the Broken,2017,3:40,2021-03-12
727,Angel Falls,"Frank Walker,Sterling Fox",35,"pop edm,",,24,2017,3:57,2021-03-12
728,DEREALIZE,"MEJKO,Stephen Geisler",39,,,DEREALIZE,2019,3:00,2021-03-12
729,Move Slow,"The Tech Thieves,Biometrix",40,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Move Slow,2019,3:12,2021-03-12
730,Know Love - OTR Remix,"RKCB,OTR",51,"electropop, indie electropop, indie poptimism, vapor soul, vapor twitch, future bass","Pop, Dance/Electronic",Know Love (OTR Remix),2019,3:12,2021-03-12
731,Symphony,"Zeds Dead,Charlotte OC",43,"brostep, canadian electronic, dubstep, edm, electro house, electronic trap, progressive electro house, modern alternative pop, uk pop, vapor pop","Dance/Electronic, Rock, Pop",Northern Lights,2016,3:51,2021-03-12
732,Breathe Without,"Nurko,Luma",50,"edm, future bass, melodic dubstep, pop edm, traprun,",Dance/Electronic,Breathe Without,2019,3:46,2021-03-12
733,Istanbul (Not Constantinople),Bart & Baker,42,"electro swing, nu jazz","Easy listening, Dance/Electronic","Introducing, Bart&Baker",2013,3:24,2021-03-12
734,I Walk In - Jazzotron Remix,"Nikola Vujicic,Jazzotron",18,"electro swing, nu jazz","Easy listening, Dance/Electronic",Swing Revolution,2018,4:19,2021-03-12
735,By Your Side - Klischée Remix,"Klischée,Tim Freitag",33,"electro swing, nu jazz, swiss indie","Easy listening, Dance/Electronic",By Your Side (Klischée Remix),2018,3:07,2021-03-12
736,Ronin,Gidexen,33,traprun,Dance/Electronic,Ronin,2018,2:32,2021-03-12
737,Feel That Way,Ascence,32,gaming edm,Dance/Electronic,Feel That Way,2019,2:38,2021-03-12
738,Stardust,Geoxor,0,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,4:21,2021-03-12
739,Kintsugi,DROELOE,49,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Kintsugi,2017,3:28,2021-03-12
740,Strings Attached,Opia,43,vapor soul,Dance/Electronic,Strings Attached,2018,4:26,2021-03-12
741,Hide and Seek,Vairo,42,,,Hide and Seek,2018,3:24,2021-03-12
742,Whoopedoo,"Balduin,Alanna Lyes",0,"electro swing,",Easy listening,Whoopedoo,2018,2:41,2021-03-12
743,Cant Stand That Girl,StoneOcean,36,,,One Vibration,2014,3:46,2021-03-12
744,Hit the Road Jack,"Maskarade,Wolfgang Lohr",50,"electro swing, nu jazz","Easy listening, Dance/Electronic",Hit the Road Jack (Electro Swing),2018,2:38,2021-03-12
745,Let's Do It,11 Acorn Lane,38,"electro swing, nu jazz","Easy listening, Dance/Electronic",Let's Do It,2018,3:07,2021-03-12
746,A Friend Like Me - Original Mix,Antele Prox.,0,,,A Friend Like Me,2017,3:25,2021-03-12
747,My Bad Alice,Jenova Collective,36,electro swing,Easy listening,My Bad Alice,2017,4:43,2021-03-12
748,Imperfection - Radio Edit,"Wolfgang Lohr,Balduin,Zouzoulectric",0,"electro swing, nu jazz","Easy listening, Dance/Electronic",Imperfection,2018,3:12,2021-03-12
749,No Strings Attached,Swingrowers,45,"electro swing, nu jazz","Easy listening, Dance/Electronic",Outsidein,2018,4:06,2021-03-12
750,Empires,The Electric Swing Circus,50,"electro swing, nu jazz","Easy listening, Dance/Electronic",It Flew By,2017,3:10,2021-03-12
751,Midnight Sway,Odd Chap,34,"electro swing, nu jazz","Easy listening, Dance/Electronic",Midnight Sway,2017,4:22,2021-03-12
752,Bass Me Baby,Annella,37,"electro swing, nu jazz","Easy listening, Dance/Electronic",Bass Me Baby,2016,3:50,2021-03-12
753,Crashing (feat. Bahari),"ILLENIUM,Bahari",61,"edm, electropop, melodic dubstep, pop, pop dance, tropical house, la pop","Dance/Electronic, Pop",ASCEND,2019,3:50,2021-03-12
754,Claudiné - VIP Mix,Abandoned,9,"gaming edm, melodic dubstep",Dance/Electronic,Claudiné (VIP Mix),2017,3:27,2021-03-12
755,Places We Don’t Know - ford. Remix,"Kasbo,ford.",41,"edm, electropop, future bass, indie electropop, indie poptimism, pop dance, pop edm, swedish electropop, tropical house, vapor soul, vapor twitch","Dance/Electronic, Pop",Places We Don’t Know (ford. Remix),2019,3:22,2021-03-12
756,Past Life (feat. Opia),"Ekali,Opia",32,"canadian electronic, edm, electro house, electronic trap, electropop, future bass, indie electropop, pop dance, pop edm, vapor twitch, vapor soul","Dance/Electronic, Pop",Past Life (feat. Opia),2017,3:14,2021-03-12
757,HOLY,MYSTIC,35,samurai trap,,HOLY,2018,4:38,2021-03-12
758,Nuri,"Kalmi,Karan Kanchan",34,,,Nuri,2017,3:24,2021-03-12
759,Beverly Blues,Opia,54,vapor soul,Dance/Electronic,Beverly Blues,2018,3:01,2021-03-12
760,Lazer Love (feat. Francisca Hall),"KSHMR,Vaski,Francisca Hall",35,"big room, edm, electro house, indian edm, pop dance, pop edm, slap house, tropical house, filthstep,",Dance/Electronic,Lazer Love (feat. Francisca Hall),2015,4:09,2021-03-12
761,Crawl Outta Love,"ILLENIUM,Annika Wells",60,"edm, electropop, melodic dubstep, pop, pop dance, tropical house, la pop","Dance/Electronic, Pop",Awake,2017,4:02,2021-03-12
762,Blackout (feat. Steph Jones) - Radio Edit,"Tritonal,Steph Jones",25,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, trance, tropical house, uplifting trance,",Dance/Electronic,Blackout (feat. Steph Jones) [Radio Edit],2016,3:31,2021-03-12
763,Twitch - Original Mix,"Jamie Berry,Rosie Rascal",35,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Grandiose,2014,4:02,2021-03-12
764,Limits,Little Violet,31,electro swing,Easy listening,Limits,2019,3:11,2021-03-12
765,Dragons,Caravan Palace,41,"electro swing, nu jazz","Easy listening, Dance/Electronic",Caravan Palace,2008,4:05,2021-03-12
766,Day & Night,Odd Chap,40,"electro swing, nu jazz","Easy listening, Dance/Electronic",Day & Night,2018,4:07,2021-03-12
767,Grandiose - Original Mix,Jamie Berry,33,"electro swing, nu jazz","Easy listening, Dance/Electronic",Grandiose,2014,3:28,2021-03-12
768,16 Tons - Radio Edit,Varrick Frost,23,electro swing,Easy listening,16 Tons (Radio Edit),2019,3:38,2021-03-12
769,Black Coffee,"Pisk,Nat Gonella",37,"electro swing, nu jazz, british dance band, dixieland","Easy listening, Dance/Electronic",Black Coffee,2018,4:13,2021-03-12
770,Midnight,Swingrowers,41,"electro swing, nu jazz","Easy listening, Dance/Electronic",Remote,2014,3:43,2021-03-12
771,Jump Down Flute,Minimatic,6,electro swing,Easy listening,Bric-a-Brac,2019,3:55,2021-03-12
772,It's Strange - Pham X Filip Remix,"Louis The Child,K.Flay",12,"edm, electropop, indie poptimism, pop, pop dance, tropical house, escape room, hip pop, modern alternative rock, modern rock, rock","Dance/Electronic, Pop, R&B, Rock",It's Strange (Remixes),2016,3:09,2021-03-12
773,Sunburn,DROELOE,54,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Sunburn,2017,3:46,2021-03-12
774,Ghosts,"Abandoned,Soar",27,"gaming edm, melodic dubstep, canadian electronic",Dance/Electronic,Ghosts,2018,6:12,2021-03-12
775,Stars Tonight,"Zeds Dead,DROELOE",46,"brostep, canadian electronic, dubstep, edm, electro house, electronic trap, progressive electro house, bass trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Stars Tonight,2019,2:53,2021-03-12
776,It's All on U - T-Mass & LZRD Remix,"ILLENIUM,Liam O'Donnell,T-Mass,LZRD",58,"edm, electropop, melodic dubstep, pop, pop dance, tropical house, bass trap, gaming edm, pop edm, traprun","Dance/Electronic, Pop",Ashes (Remixes),2016,3:24,2021-03-12
777,Eternal Rest,Ryllz,15,"dutch edm, traprun",Dance/Electronic,Eternal Rest,2018,2:18,2021-03-12
778,More,"Kaskade,Felix Cartal,Jenn Blosil",43,"edm, electro house, house, pop, pop dance, progressive house, tropical house, vocal house, canadian electronic, electropop, indie poptimism, pop edm, lds","Dance/Electronic, Pop, New age",Redux 003,2019,3:11,2021-03-12
779,Good News,Apashe,44,"bass trap, traprun",Dance/Electronic,"The Good, The Bad & The Fake",2019,4:44,2021-03-12
780,Giver,Módl,44,,,Giver,2019,4:07,2021-03-12
781,Strangers,"Z & Z,Aviella",29,,,Strangers,2019,3:25,2021-03-12
782,Sweet Dreams,Besomorph,58,"bass trap, slap house, traprun",Dance/Electronic,Sweet Dreams,2019,3:02,2021-03-12
783,Get Out Of My Head,"Taska Black,Midoca",28,"bass trap, edm, electronic trap, electropop, future bass, indie electropop, pop edm, traprun, vapor twitch,","Dance/Electronic, Pop",Get Out Of My Head,2018,3:02,2021-03-12
784,Cheat Codes,Nitro Fun,50,"complextro, edm, electro house, gaming edm, speedrun",Dance/Electronic,Cheat Codes,2014,3:31,2021-03-12
785,Swinging Melodies,Little Violet,32,electro swing,Easy listening,Swinging Melodies,2019,3:09,2021-03-12
786,Dance With Me,Dirty Honkers,39,"electro swing, nu jazz","Easy listening, Dance/Electronic",Dance With Me,2019,3:34,2021-03-12
787,Via con me,Swingrowers,41,"electro swing, nu jazz","Easy listening, Dance/Electronic","White Mink: Black Cotton, Vol. 3 (Electro Swing vs Speakeasy Jazz)",2013,3:51,2021-03-12
788,Spook,Odd Chap,20,"electro swing, nu jazz","Easy listening, Dance/Electronic",Spook,2019,4:17,2021-03-12
789,Grandpa's Groove,"Parov Stelar,AronChupa",46,"downtempo, electro swing, nu jazz, tropical house, swedish pop","Dance/Electronic, Easy listening, Pop",Grandpa's Groove,2016,3:10,2021-03-12
790,In My Head,"Robert Edwards,Little Violet,Jamie Berry",19,"electro swing, nu jazz","Easy listening, Dance/Electronic",Beat Swing Remix'd,2019,3:28,2021-03-12
791,Pump Up the Jam,Swingrowers,38,"electro swing, nu jazz","Easy listening, Dance/Electronic",Do Not Cover,2014,3:49,2021-03-12
792,Catgroove,Parov Stelar,49,"downtempo, electro swing, nu jazz, tropical house","Dance/Electronic, Easy listening",The Art Of Sampling (Deluxe Version),2013,3:56,2021-03-12
793,Feet off the Ground,Cut Capers,20,"electro swing, modern ska punk","Easy listening, Dance/Electronic",Metropolis,2019,4:46,2021-03-12
794,Bad Boy Good Man,"Tape Five,Henrik Wager",0,"electro swing, nu jazz","Easy listening, Dance/Electronic",Tonight Josephine!,2011,4:15,2021-03-12
795,Playing With Fire,Little Violet,27,electro swing,Easy listening,Silent Movie,2019,2:57,2021-03-12
796,Mr. Sandman,Swingrowers,36,"electro swing, nu jazz","Easy listening, Dance/Electronic",Do Not Cover,2014,3:58,2021-03-12
797,Alright,Cut Capers,15,"electro swing, modern ska punk","Easy listening, Dance/Electronic",Metropolis,2019,3:04,2021-03-12
798,Tauwetter,"Hans Wachsmann,Wolfgang Lohr",14,"electro swing, nu jazz","Easy listening, Dance/Electronic",Tauwetter,2019,3:08,2021-03-12
799,Silent Movie,Little Violet,42,electro swing,Easy listening,Silent Movie,2019,3:17,2021-03-12
800,Supersonics,Caravan Palace,37,"electro swing, nu jazz","Easy listening, Dance/Electronic",Chronologic,2019,3:21,2021-03-12
801,Peeping Tom - Original Mix,"Jamie Berry,Rosie Harte",51,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Peeping Tom,2014,3:30,2021-03-12
802,Lost,Lost Sky,57,gaming edm,Dance/Electronic,Lost,2017,2:37,2021-03-12
803,Years From Now - Original Mix,Módl,26,,,Years From Now,2015,4:01,2021-03-12
804,Oligarch,Danell Arma,0,lithuanian edm,,Oligarch,2018,2:55,2021-03-12
805,ITSALL4U,SALADIN,36,,,ITSALL4U,2019,3:41,2021-03-12
806,Disarm You (feat. Ilsey) - Grey Remix,"Kaskade,Ilsey,Grey",39,"edm, electro house, house, pop, pop dance, progressive house, tropical house, vocal house, pop edm","Dance/Electronic, Pop",Disarm You (feat. Ilsey) [Grey Remix],2015,3:47,2021-03-12
807,Solo,Prismo,3,"bass trap, gaming edm, traprun",Dance/Electronic,Solo,2018,3:03,2021-03-12
808,Crystal,"Punker,Midranger",0,gaming edm,Dance/Electronic,Crystal,2016,3:34,2021-03-12
809,Little Poor Me - Vosai Remix,"Layto,Vosai",54,"modern alternative rock, traprun,","Rock, Dance/Electronic",Little Poor Me (Vosai Remix),2018,3:02,2021-03-12
810,Fire,TheUnder,31,"bass trap, traprun",Dance/Electronic,Fire,2017,3:46,2021-03-12
811,Disowned,Inova,0,"arab trap, bass trap, traprun",Dance/Electronic,Disowned,2017,4:39,2021-03-12
812,Never Have I Felt This,Koven,55,"chillstep, edm, electro house, gaming edm, melodic dubstep",Dance/Electronic,Never Have I Felt This,2018,4:06,2021-03-12
813,Heart Shaped Box,Neovaii,53,"bass trap, pop edm, traprun",Dance/Electronic,Closure,2019,4:50,2021-03-12
814,Burn the Stars,Massive Vibes,50,hungarian edm,Dance/Electronic,Burn the Stars,2017,3:00,2021-03-12
815,Tilt,Bihler,39,melodic dubstep,Dance/Electronic,Tilt,2017,2:24,2021-03-12
816,Insane,"Vaski,Ava",40,"filthstep,",Dance/Electronic,Insane,2012,4:07,2021-03-12
817,You Got Me (feat. Lexie),"BOXINBOX,Lionsize,Lexie",0,"bass trap, traprun,",Dance/Electronic,You Got Me (feat. Lexie),2018,2:34,2021-03-12
818,Lost In The Rhythm - Original Mix,"Jamie Berry,Octavia Rose",56,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Lost In The Rhythm,2016,3:06,2021-03-12
819,Shipshape,"Jamie Berry,Robert Edwards,Andrew Griffiths",20,"electro swing, nu jazz,","Easy listening, Dance/Electronic",Light up the Night,2019,2:59,2021-03-12
820,Human,Rag'n'Bone Man,77,neo soul,R&B,Human (Deluxe),2017,3:20,2021-03-12
821,Giant (with Rag'n'Bone Man),"Calvin Harris,Rag'n'Bone Man",77,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, neo soul","Pop, Dance/Electronic, R&B",Giant (with Rag'n'Bone Man),2019,3:49,2021-03-12
822,Skin,Rag'n'Bone Man,68,neo soul,R&B,Human (Deluxe),2017,3:59,2021-03-12
823,Freedom Fighters,"Thomas Bergersen,Two Steps from Hell",52,"epicore, soundtrack, video game music",Easy listening,Invincible,2010,2:31,2021-03-12
824,Dance Monkey,Tones And I,78,"australian pop, pop",Pop,The Kids Are Coming,2019,3:29,2021-03-12
825,Renaissance - From "Medici: Masters of Florence","Paolo Buonvino,Skin",46,"deep soundtrack, italian soundtrack,",Easy listening,Renaissance (From "Medici: Masters of Florence"),2016,5:34,2021-03-12
826,Why We Lose,"Cartoon,Coleman Trapp",66,"gaming edm,",Dance/Electronic,Why We Lose,2015,3:17,2021-03-12
827,Everything Black,"Unlike Pluto,Mike Taylor",76,"bass trap, indie poptimism, modern alternative rock,","Dance/Electronic, Pop, Rock",Everything Black,2017,3:48,2021-03-12
828,No No No,TheFatRat,60,speedrun,,No No No,2016,3:01,2021-03-12
829,Razor Sharp,"Pegboard Nerds,Tristam",52,"brostep, danish electronic, edm, electro house, gaming edm, glitch, speedrun, chillstep","Dance/Electronic, New age",Razor Sharp,2013,4:41,2021-03-12
830,Till It's Over,Tristam,31,"brostep, chillstep, edm, electro house, gaming edm",Dance/Electronic,Till It's Over,2013,4:30,2021-03-12
831,Flight,"Tristam,Braken",4,"brostep, chillstep, edm, electro house, gaming edm",Dance/Electronic,Flight,2013,3:39,2021-03-12
832,Hot,Confetti,7,la pop,Pop,Hot,2019,2:30,2021-03-12
833,War,"Ryllz,Um41K",26,"dutch edm, traprun, future house",Dance/Electronic,War,2018,2:41,2021-03-12
834,I Gotta Know,Ryllz,29,"dutch edm, traprun",Dance/Electronic,I Gotta Know,2019,3:00,2021-03-12
835,Purgatory,Ryllz,42,"dutch edm, traprun",Dance/Electronic,Purgatory,2019,2:58,2021-03-12
836,Nemesis,Ryllz,24,"dutch edm, traprun",Dance/Electronic,Nemesis,2018,2:40,2021-03-12
837,Falling,Opia,47,vapor soul,Dance/Electronic,Falling,2016,2:59,2021-03-12
838,Stayin' Alive,why mona,33,la pop,Pop,Stayin' Alive,2018,3:30,2021-03-12
839,We Will Rock You,why mona,47,la pop,Pop,We Will Rock You,1991,2:48,2021-03-12
840,Drop It Down Like - Radio Edit,"Lady Bee,Rachel Kramer",49,"bass trap, moombahton,",Dance/Electronic,Drop It Down Like,2014,3:29,2021-03-12
841,Vita | Mortis,Arkana,17,melodic dubstep,Dance/Electronic,Vita | Mortis,2015,7:39,2021-03-12
842,Nihilum,Arkana,23,melodic dubstep,Dance/Electronic,Nihilum,2015,5:04,2021-03-12
843,Genesis,Arkana,0,melodic dubstep,Dance/Electronic,Genesis EP,2015,5:11,2021-03-12
844,Tzimtzum,Arkana,37,melodic dubstep,Dance/Electronic,Ein Sof,2018,4:26,2021-03-12
845,Kether,Arkana,38,melodic dubstep,Dance/Electronic,Ein Sof,2018,3:44,2021-03-12
846,Ein Sof,Arkana,43,melodic dubstep,Dance/Electronic,Ein Sof,2018,3:58,2021-03-12
847,Strangers,Veorra,50,"bass trap, traprun",Dance/Electronic,Ruby,2015,3:33,2021-03-12
848,Set Free,Veorra,53,"bass trap, traprun",Dance/Electronic,Ruby,2015,3:16,2021-03-12
849,Run,Veorra,56,"bass trap, traprun",Dance/Electronic,Sapphire,2015,4:00,2021-03-12
850,With You,Ether,26,melodic dubstep,Dance/Electronic,With You,2016,4:57,2021-03-12
851,Soul Mirror,Animadrop,24,melodic dubstep,Dance/Electronic,Soul Mirror,2019,4:43,2021-03-12
852,An Angel's Acrimony,Animadrop,20,melodic dubstep,Dance/Electronic,An Angel's Acrimony,2017,6:43,2021-03-12
853,Aural Deluge,Animadrop,28,melodic dubstep,Dance/Electronic,Aural Deluge,2017,6:24,2021-03-12
854,Lunae,Animadrop,19,melodic dubstep,Dance/Electronic,Lunae,2019,5:51,2021-03-12
855,Stuck in a Timeloop,Animadrop,39,melodic dubstep,Dance/Electronic,Stuck in a Timeloop,2018,6:56,2021-03-12
856,Thin Air,"Animadrop,Ben Walter,Aeris",24,"melodic dubstep,",Dance/Electronic,Thin Air,2019,5:09,2021-03-12
857,Float Away,"Animadrop,Jaël",29,"melodic dubstep,",Dance/Electronic,Float Away,2019,6:04,2021-03-12
